Sent,Received,Error
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,440,0.08333333333333333
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,546,0.19705882352941176
720,720,0.0
760,760,0.0
800,800,0.0
840,840,0.0
880,880,0.0
920,920,0.0
960,960,0.0
1000,777,0.223
1040,1040,0.0
1080,485,0.5509259259259259
1120,1035,0.07589285714285714
1160,1160,0.0
1200,715,0.4041666666666667
1240,1240,0.0
1280,1217,0.04921875
1320,461,0.6507575757575758
1360,1013,0.2551470588235294
1400,984,0.29714285714285715
1440,1037,0.2798611111111111
1480,1480,0.0
1520,1520,0.0
1560,1560,0.0
1600,1600,0.0
1640,1640,0.0
1680,1680,0.0
1720,1720,0.0
1760,1760,0.0
1800,1750,0.027777777777777776
1840,1840,0.0
1880,1051,0.4409574468085106
1920,598,0.6885416666666667
1960,1411,0.2801020408163265
2000,1864,0.068
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,423,0.11875
520,520,0.0
560,560,0.0
600,418,0.30333333333333334
640,640,0.0
680,485,0.2867647058823529
720,567,0.2125
760,760,0.0
800,576,0.28
840,840,0.0
880,880,0.0
920,543,0.4097826086956522
960,960,0.0
1000,1000,0.0
1040,1040,0.0
1080,605,0.4398148148148148
1120,1120,0.0
1160,1160,0.0
1200,474,0.605
1240,1194,0.037096774193548385
1280,1040,0.1875
1320,1026,0.22272727272727272
1360,1360,0.0
1400,1041,0.25642857142857145
1440,1440,0.0
1480,1480,0.0
1520,1520,0.0
1560,1460,0.0641025641025641
1600,1349,0.156875
1640,1640,0.0
1680,1358,0.19166666666666668
1720,1720,0.0
1760,1660,0.056818181818181816
1800,1764,0.02
1840,1319,0.2831521739130435
1880,1047,0.4430851063829787
1920,1852,0.035416666666666666
1960,767,0.6086734693877551
2000,2000,0.0
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,680,0.0
720,720,0.0
760,760,0.0
800,800,0.0
840,840,0.0
880,880,0.0
920,920,0.0
960,960,0.0
1000,1000,0.0
1040,1040,0.0
1080,1080,0.0
1120,1120,0.0
1160,1160,0.0
1200,1200,0.0
1240,1240,0.0
1280,1280,0.0
1320,1320,0.0
1360,1360,0.0
1400,1400,0.0
1440,1440,0.0
1480,1271,0.14121621621621622
1520,1285,0.15460526315789475
1560,1215,0.22115384615384615
1600,1600,0.0
1640,1640,0.0
1680,1680,0.0
1720,1501,0.12732558139534883
1760,1752,0.004545454545454545
1800,1800,0.0
1840,1815,0.01358695652173913
1880,1852,0.014893617021276596
1920,1920,0.0
1960,1960,0.0
2000,655,0.6725
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,444,0.34705882352941175
720,720,0.0
760,760,0.0
800,800,0.0
840,840,0.0
880,880,0.0
920,920,0.0
960,960,0.0
1000,1000,0.0
1040,1040,0.0
1080,1080,0.0
1120,1120,0.0
1160,1160,0.0
1200,1200,0.0
1240,1240,0.0
1280,1226,0.0421875
1320,1320,0.0
1360,1360,0.0
1400,1361,0.027857142857142858
1440,1440,0.0
1480,1480,0.0
1520,791,0.47960526315789476
1560,791,0.492948717948718
1600,1600,0.0
1640,1640,0.0
1680,1680,0.0
1720,1720,0.0
1760,1760,0.0
1800,1800,0.0
1840,1809,0.01684782608695652
1880,1169,0.3781914893617021
1920,1764,0.08125
1960,1902,0.02959183673469388
2000,1948,0.026
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,680,0.0
720,720,0.0
760,760,0.0
800,800,0.0
840,840,0.0
880,880,0.0
920,920,0.0
960,960,0.0
1000,1000,0.0
1040,1040,0.0
1080,1080,0.0
1120,1120,0.0
1160,1160,0.0
1200,1200,0.0
1240,1240,0.0
1280,1280,0.0
1320,1320,0.0
1360,1360,0.0
1400,1400,0.0
1440,1440,0.0
1480,1480,0.0
1520,1373,0.09671052631578947
1560,1560,0.0
1600,1600,0.0
1640,1498,0.08658536585365853
1680,1680,0.0
1720,1416,0.17674418604651163
1760,1760,0.0
1800,1369,0.23944444444444443
1840,1840,0.0
1880,1880,0.0
1920,1915,0.0026041666666666665
1960,1902,0.02959183673469388
2000,1976,0.012
