Sent2,Received2,Error2
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,680,0.0
720,694,0.03611111111111111
760,760,0.0
800,800,0.0
840,840,0.0
880,880,0.0
920,920,0.0
960,694,0.27708333333333335
1000,658,0.342
1040,1040,0.0
1080,1080,0.0
1120,515,0.5401785714285714
1160,1160,0.0
1200,1200,0.0
1240,1240,0.0
1280,1280,0.0
1320,995,0.24621212121212122
1360,1153,0.15220588235294116
1400,1063,0.24071428571428571
1440,1380,0.041666666666666664
1480,1480,0.0
1520,1520,0.0
1560,1423,0.08782051282051281
1600,1600,0.0
1640,1640,0.0
1680,1680,0.0
1720,1692,0.01627906976744186
1760,1760,0.0
1800,1769,0.017222222222222222
1840,1124,0.38913043478260867
1880,1853,0.014361702127659574
1920,1056,0.45
1960,1879,0.0413265306122449
2000,1991,0.0045
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,480,0.25
680,680,0.0
720,720,0.0
760,446,0.4131578947368421
800,491,0.38625
840,840,0.0
880,508,0.42272727272727273
920,749,0.1858695652173913
960,759,0.209375
1000,1000,0.0
1040,1040,0.0
1080,1080,0.0
1120,1120,0.0
1160,1160,0.0
1200,1200,0.0
1240,1240,0.0
1280,1280,0.0
1320,1320,0.0
1360,1360,0.0
1400,1400,0.0
1440,1440,0.0
1480,1480,0.0
1520,1082,0.2881578947368421
1560,1346,0.1371794871794872
1600,1600,0.0
1640,1640,0.0
1680,1680,0.0
1720,1720,0.0
1760,1751,0.005113636363636364
1800,541,0.6994444444444444
1840,1798,0.02282608695652174
1880,1880,0.0
1920,1885,0.018229166666666668
1960,1906,0.027551020408163266
2000,1402,0.299
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,543,0.20147058823529412
720,720,0.0
760,760,0.0
800,800,0.0
840,714,0.15
880,604,0.31363636363636366
920,920,0.0
960,960,0.0
1000,846,0.154
1040,1040,0.0
1080,1080,0.0
1120,1120,0.0
1160,1160,0.0
1200,1200,0.0
1240,1240,0.0
1280,935,0.26953125
1320,1320,0.0
1360,1360,0.0
1400,1400,0.0
1440,1440,0.0
1480,1137,0.23175675675675675
1520,1520,0.0
1560,1560,0.0
1600,1464,0.085
1640,1640,0.0
1680,1513,0.0994047619047619
1720,1720,0.0
1760,1760,0.0
1800,1800,0.0
1840,1626,0.11630434782608695
1880,1440,0.23404255319148937
1920,1694,0.11770833333333333
1960,1728,0.11836734693877551
2000,1901,0.0495
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,400,0.0
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,680,0.0
720,720,0.0
760,760,0.0
800,800,0.0
840,840,0.0
880,880,0.0
920,920,0.0
960,508,0.4708333333333333
1000,1000,0.
1040,1040,0.0
1080,489,0.5472222222222223
1120,1120,0.0
1160,1160,0.0
1200,1200,0.0
1240,1240,0.0
1280,1280,0.0
1320,1320,0.0
1360,1360,0.0
1400,1400,0.0
1440,1440,0.0
1480,1480,0.0
1520,1520,0.0
1560,1560,0.0
1600,1600,0.0
1640,1622,0.01097560975609756
1680,717,0.5732142857142857
1720,1720,0.0
1760,1760,0.0
1800,1355,0.24722222222222223
1840,1778,0.03369565217391304
1880,1143,0.3920212765957447
1920,1778,0.07395833333333333
1960,1858,0.05204081632653061
2000,1926,0.037
40,40,0.0
80,80,0.0
120,120,0.0
160,160,0.0
200,200,0.0
240,240,0.0
280,280,0.0
320,320,0.0
360,360,0.0
400,386,0.035
440,440,0.0
480,480,0.0
520,520,0.0
560,560,0.0
600,600,0.0
640,640,0.0
680,522,0.2323529411764706
720,720,0.0
760,618,0.1868421052631579
800,800,0.0
840,840,0.0
880,880,0.0
920,920,0.0
960,960,0.0
1000,1000,0.0
1040,1040,0.0
1080,708,0.34444444444444444
1120,1120,0.0
1160,1160,0.0
1200,1045,0.12916666666666668
1240,1240,0.0
1280,1280,0.0
1320,1320,0.0
1360,1360,0.0
1400,1400,0.0
1440,1440,0.0
1480,650,0.5608108108108109
1520,1520,0.0
1560,1560,0.0
1600,1600,0.0
1640,1640,0.0
1680,796,0.5261904761904762
1720,1720,0.0
1760,1518,0.1375
1800,1713,0.04833333333333333
1840,1840,0.0
1880,1540,0.18085106382978725
1920,1577,0.17864583333333334
1960,1653,0.15663265306122448
2000,2000,0.0
